Tura,Symbol,Koszt,Oblozenie,Koszt w turze
24,s2,1.1*s2**1.07,59,86.3384678806029
24,s3,1.1*s3**1.07,95,143.733149770206
24,s4,1.1*s4**1.07,0,0
24,m1,1.2*m1**1.05,144,221.544953968922
24,m2,1.2*m2**1.05,59,86.8112197317137
24,r1,1.78*r1**0.95,0,0
24,r2,0.195*r2**0.95,144,21.9017581446728
24,r3,1.83*r3**0.95,0,0
24,r4,0.145*r4**0.95,59,6.97713961250482
24,r5,0.705*r5**0.95,49,28.4364509691897
24,r6,0.895*r6**0.95,0,0
24,r7,2.85*r7**0.95,0,0
24,r8,0.01*r8**0.95,59,0.481182042241712
24,r9,1.685*r9**0.95,95,127.478613187770
24,r10,1.875*r10**0.95,0,0
24,r11,2.645*r11**0.95,0,0
24,r12,2.835*r12**0.95,0,0
25,f1,1.3*f1**1.03,0,0
25,f2,1.3*f2**1.03,206,314.214765390189
25,s1,1.1*s1**1.07,54,78.5333291332747
25,s2,1.1*s2**1.07,53,76.9782202005972
25,s3,1.1*s3**1.07,99,150.218127247546
25,s4,1.1*s4**1.07,0,0
25,m1,1.2*m1**1.05,153,236.106122191223
25,m2,1.2*m2**1.05,53,77.5659130623446
25,r1,1.78*r1**0.95,0,0
25,r2,0.195*r2**0.95,153,23.2001862093334
25,r3,1.83*r3**0.95,0,0
25,r4,0.145*r4**0.95,53,6.30129886574207
25,r5,0.705*r5**0.95,54,31.1862523551235
25,r6,0.895*r6**0.95,0,0
25,r7,2.85*r7**0.95,0,0
25,r8,0.01*r8**0.95,53,0.434572335568419
25,r9,1.685*r9**0.95,99,132.572467630758
25,r10,1.875*r10**0.95,0,0
25,r11,2.645*r11**0.95,0,0
25,r12,2.835*r12**0.95,0,0
26,f1,1.3*f1**1.03,0,0
26,f2,1.3*f2**1.03,223,340.955233658384
26,s1,1.1*s1**1.07,62,91.0440970218765
26,s2,1.1*s2**1.07,56,81.6495647637497
26,s3,1.1*s3**1.07,105,159.979831549500
26,s4,1.1*s4**1.07,0,0
26,m1,1.2*m1**1.05,167,258.841281168631
26,m2,1.2*m2**1.05,56,82.1823724566635
26,r1,1.78*r1**0.95,0,0
26,r2,0.195*r2**0.95,167,25.2124621333040
26,r3,1.83*r3**0.95,0,0
26,r4,0.145*r4**0.95,56,6.63967203292579
